DICTION             27     201304 Nuclides                        3000002700001 
31-GA-79   (  3          )                                        3000002700454 
31-GA-80   (  3          )                                        3000002700455 
31-GA-81   (  3          )                                        3000002700456 
31-GA-82   (  3          )                                        3000002700457 
31-GA-83   (  3          )                                        3000002700458 
32-GE-0    (1        CS  )                                        3000002700459 
32-GE-65   (  3      T   )                                        3000002700460 
32-GE-66   (  3      T   )                                        3000002700461 
32-GE-67   (  3      T   )                                        3000002700462 
32-GE-68   (1 3      C   )                                        3000002700463 
32-GE-69   (1 3      C   )                                        3000002700464 
32-GE-70   (1 3      CS  )                                        3000002700465 
32-GE-71   (1 34     C  A)                                        3000002700466 
32-GE-72   (1 3      CS  )                                        3000002700467 
32-GE-73   (1 34     CS A)                                        3000002700468 
32-GE-74   (1234     CS  )                                        3000002700469 
32-GE-75   (1 34     C  1)                                        3000002700470 
32-GE-76   (123      CS  )                                        3000002700471 
32-GE-77   (1 34     C  1)                                        3000002700472 
32-GE-78   (  3      T   )                                        3000002700473 
32-GE-79   (  3         1)                                        3000002700474 
32-GE-80   (  3          )                                        3000002700475 
32-GE-81   (  3      T  1)                                        3000002700476 
32-GE-82   (  3          )                                        3000002700477 
32-GE-83   (  3          )                                        3000002700478 
32-GE-84   (  3          )                                        3000002700479 
32-GE-85   (  3          )                                        3000002700480 
33-AS-69   (  3      T   )                                        3000002700481 
33-AS-70   (  3      T   )                                        3000002700482 
33-AS-71   (  3      T   )                                        3000002700483 
33-AS-72   (  3      T   )                                        3000002700484 
33-AS-73   (  3      T   )                                        3000002700485 
33-AS-74   (1 3      C   )                                        3000002700486 
           As-74 has no isomer. Earlier attributions of an        3000002700487 
            isomer turned out to be wrong.                        3000002700488 
33-AS-75   (1 34     CS A)                                        3000002700489 
33-AS-76   (1 3      C   )                                        3000002700490 
33-AS-77   (1 3      C   )                                        3000002700491 
33-AS-78   (  34     T   )                                        3000002700492 
33-AS-79   (  3      T   )                                        3000002700493 
33-AS-80   (  3          )                                        3000002700494 
33-AS-81   (  3          )                                        3000002700495 
33-AS-82   (  3         1)                                        3000002700496 
33-AS-83   (  3          )                                        3000002700497 
33-AS-84   (  3         1)                                        3000002700498 
33-AS-85   (  3          )                                        3000002700499 
33-AS-86   (  3          )                                        3000002700500 
33-AS-87   (  3          )                                        3000002700501 
33-AS-88   (  3          )                                        3000002700502 
34-SE-0    (1  4     CS  )                                        3000002700503 
34-SE-71   (  3      T   )                                        3000002700504 
34-SE-72   (  3      T   )                                        3000002700505 
34-SE-73   (1 34     C  1)                                        3000002700506 
34-SE-74   (1 3      CS  )                                        3000002700507 
34-SE-75   (1 34     C   )                                        3000002700508 
34-SE-76   (1 3      CS  )                                        3000002700509 
34-SE-77   (1 34     CS 1)                                        3000002700510 
34-SE-78   (1 34     CS  )                                        3000002700511 
34-SE-79   (1 34     C  1)                                        3000002700512 
34-SE-80   (1 3      CS  )                                        3000002700513 
34-SE-81   (1 34     C  1)                                        3000002700514 
34-SE-82   (123      CS  )                                        3000002700515 
34-SE-83   (1 34     C  1)                                        3000002700516 
34-SE-84   (1 3      C   )                                        3000002700517 
34-SE-85   (  3          )                                        3000002700518 
34-SE-86   (  3          )                                        3000002700519 
34-SE-87   (  3      T   )                                        3000002700520 
34-SE-88   (  3      T   )                                        3000002700521 
34-SE-89   (  3          )                                        3000002700522 
34-SE-90   (  3          )                                        3000002700523 
34-SE-91   (1234         )                                        3000002700524 
35-BR-0    (1        CS  )                                        3000002700525 
35-BR-70   (1234        1)                                        3000002700526 
           2 isomers exist, not known which one is ground state   3000002700527 
35-BR-71   (  3      T   )                                        3000002700528 
35-BR-72   (  3      T   )                                        3000002700529 
35-BR-73   (  3      T   )                                        3000002700530 
35-BR-74   (  3      T  1)                                        3000002700531 
           2 isomers exist, not known which one is ground state   3000002700532 
35-BR-75   (  3      T   )                                        3000002700533 
35-BR-76   (1 3      C  1)                                        3000002700534 
35-BR-77   (  3      T  1)                                        3000002700535 
35-BR-78   (1 3      C  A)                                        3000002700536 
35-BR-79   (1 34     CS 1)                                        3000002700537 
35-BR-80   (1 34     C  1)                                        3000002700538 
35-BR-81   (1 34     CS  )                                        3000002700539 
35-BR-82   (1 3      C  1)                                        3000002700540 
35-BR-83   (  3      T   )                                        3000002700541 
35-BR-84   (  3      T  1)                                        3000002700542 
35-BR-85   (  3      T   )                                        3000002700543 
35-BR-86   (  3          )                                        3000002700544 
35-BR-87   (  3      T   )                                        3000002700545 
35-BR-88   (  3      T   )                                        3000002700546 
35-BR-89   (  3      T   )                                        3000002700547 
35-BR-90   (  3          )                                        3000002700548 
35-BR-91   (  3          )                                        3000002700549 
35-BR-92   (  3          )                                        3000002700550 
35-BR-93   (  3          )                                        3000002700551 
35-BR-94   (1234         )                                        3000002700552 
35-BR-95   (  3          )                                        3000002700553 
36-KR-0    (1        CS  )                                        3000002700554 
36-KR-74   (  3      T   )                                        3000002700555 
36-KR-75   (  3      T   )                                        3000002700556 
